income,credit_score,MEAN(loans.loan_amount),MEAN(loans.rate),MAX(loans.loan_amount),MAX(loans.rate),LAST(loans.loan_type),LAST(loans.loan_amount),LAST(loans.rate),LAST(loans.repaid),"TREND(loans.rate, loan_start)","TREND(loans.loan_amount, loan_start)",MEAN(payments.payment_amount),MAX(payments.payment_amount),LAST(payments.payment_amount),LAST(payments.missed),"TREND(payments.payment_amount, payment_date)",YEAR(joined),MONTH(joined),MEAN(loans.MEAN(payments.payment_amount)),MEAN(loans.MAX(payments.payment_amount)),MEAN(loans.LAST(payments.payment_amount)),"MEAN(loans.TREND(payments.payment_amount, payment_date))",MAX(loans.MEAN(payments.payment_amount)),MAX(loans.LAST(payments.payment_amount)),"MAX(loans.TREND(payments.payment_amount, payment_date))",LAST(loans.MEAN(payments.payment_amount)),LAST(loans.MAX(payments.payment_amount)),"LAST(loans.TREND(payments.payment_amount, payment_date))",LAST(loans.YEAR(loan_start)),LAST(loans.YEAR(loan_end)),LAST(loans.MONTH(loan_start)),LAST(loans.MONTH(loan_end)),"TREND(loans.TREND(payments.payment_amount, payment_date), loan_start)","TREND(loans.LAST(payments.payment_amount), loan_start)","TREND(loans.MEAN(payments.payment_amount), loan_start)","TREND(loans.MAX(payments.payment_amount), loan_start)",YEAR(LAST(loans.loan_start)),YEAR(LAST(loans.loan_end)),YEAR(LAST(payments.payment_date)),MONTH(LAST(loans.loan_start)),MONTH(LAST(loans.loan_end)),MONTH(LAST(payments.payment_date))
211422,621,7963.95,3.4770000000000003,13913,9.44,home,2203,7.4,0,0.0006133001773673362,-0.7489304827188715,1178.552795031056,2704,241,1,-0.0810925146509552,2006,10,1175.7609960872464,1578.75,1195.55,-0.21527847349917856,2155.1428571428573,2402,2.8403168750934182,293.5,368,-0.2654380120800978,2014,2015,2,8,0.0004909210192503187,-0.03976115027923904,-0.09839814897314411,-0.19644203736460777,2014,2015,2014,2,8,11
227920,633,7270.0625,2.517500000000001,13464,6.73,credit,5275,1.45,0,-5.7814376467354565e-06,-0.03069447566072533,1166.7368421052631,2658,932,1,-0.05546374170306162,2004,5,1161.6916080447331,1547.5,1155.375,-0.023703289408297867,2143.8888888888887,2483,5.990697674418606,977.375,1573,-0.12284316238497213,2014,2016,11,7,0.0004399253235438713,0.0438070846048116,-0.02490080593676293,-0.0700356121663188,2014,2016,2015,11,7,8
174532,680,7824.722222222223,2.466111111111111,14865,6.51,other,13918,0.9,1,1.0858157926495249e-05,0.7643412338975057,1207.4338235294117,2932,2084,0,0.06615913590302977,2004,8,1221.2006146903207,1518.8333333333333,1276.2222222222222,-0.16676536547480034,2511.8,2271,3.951437012181779,1769.1666666666667,2084,-0.16751876427716733,2014,2016,10,10,-0.00023427860855600367,0.09982770347751078,0.08996999419485023,0.0775433816467405,2014,2016,2015,10,10,3
214516,806,7125.933333333333,2.8553333333333333,14593,5.65,cash,9249,2.86,1,-0.0003426820725386144,0.06556293957085862,1109.4732142857142,2768,1597,1,0.11569371136581552,2000,11,1115.1501119251118,1411.6,1237.4,0.7511902489991865,2272.8571428571427,2530,4.171760834402365,1598.6666666666667,1834,-0.7379923761118169,2013,2016,12,5,-9.965857517989227e-05,0.011101988258469949,0.04354020767518656,0.025112527042756915,2013,2016,2014,12,5,7
38354,523,9813.0,3.4450000000000003,14837,6.76,home,7223,5.09,1,-0.00026915154600645747,0.6128709347526929,1439.4333333333334,2898,800,1,0.09171324252707533,2002,8,1455.2337369420702,1866.0,1416.8333333333333,-0.6534157233759008,2383.777777777778,2742,3.117067307692308,1125.5,1373,-3.511015988921099,2014,2016,6,2,0.00011557921083818057,0.08405411811582462,0.04654115569418312,0.11448915293234643,2014,2016,2015,6,2,1
235705,730,6633.263157894737,3.0589473684210526,14802,9.1,other,5325,2.83,1,8.314370378154274e-05,0.05610393318184906,944.2980132450331,2695,1013,0,0.020443498557742773,2006,5,1014.1636800334171,1315.7368421052631,1066.4736842105262,0.2758669987357743,2325.285714285714,2695,5.080521587597273,799.5,1013,-0.5040472340405895,2014,2016,4,10,-9.690314074103913e-05,0.011633194527367394,0.005184132542882133,0.04213480674517093,2014,2016,2014,4,10,12
58955,642,9920.4,2.436,14162,9.11,other,11886,9.11,0,1.36349490492381e-05,-0.7390517969964194,1396.495652173913,2422,1909,0,-0.0869387429511208,2002,5,1438.236984126984,1866.8666666666666,1614.0666666666666,0.315883202358676,2127.5,2367,4.335902226373968,1729.0,2025,0.8244719869675896,2014,2016,5,12,0.0003380609707918835,-0.03141507073803299,-0.0801041468926131,-0.09228876932820684,2014,2016,2014,5,12,12
230341,714,7882.235294117647,3.930588235294118,14784,9.14,cash,1693,1.46,1,-0.0011625109066590227,0.17577265567057332,1039.0534351145038,2791,223,1,0.07959750983452563,2009,4,1155.5841108238164,1579.6470588235295,1312.6470588235295,0.07255330296049031,2169.0,2791,3.964521142612145,282.6,337,-0.004925315477723321,2014,2017,5,1,-0.0006719206771892035,-0.10377745699171705,-0.0395918418010985,-0.009820940280270637,2014,2017,2014,5,1,10
131176,771,6939.2,3.5134999999999996,13194,7.63,other,773,7.63,1,4.403782889942984e-05,-0.9010929048243697,1094.748427672956,2563,106,0,-0.10040036401549556,2010,3,1051.9379888167389,1320.65,923.45,-0.4413633079269649,2089.6363636363635,1703,3.051393728222997,110.4,122,0.03486884197056943,2014,2016,9,4,-5.49566692837451e-05,-0.16004770050734407,-0.1444807067203519,-0.1723270181050313,2014,2016,2015,9,4,4
95849,696,7173.555555555556,3.1083333333333325,14767,8.44,home,9389,1.4,0,-0.000558360471587997,0.9209430251172526,1076.987951807229,2874,1615,1,0.12326472990096038,2003,8,1085.1684002725667,1534.6666666666667,1296.0,0.9144020151795532,2506.8,2671,5.6851108395880585,1410.25,1833,2.66217737960105,2014,2016,3,5,0.0004172157577488802,0.08076370671574809,0.08388684287755623,0.06973157258518889,2014,2016,2014,3,5,11
